Name / Purpose,Game,Rating,"<img src=""http://s5.postimg.org/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""http://s5.postimg.org/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""TFConfig"" desc=""Makes your life a little easier when setting up bindings for TFC."" /]",[TFC /],[kkratings id =321600],"[prev img=""http://s5.postimg.org/uj5v3a007/tfconfig.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!kdgxkQ6C!IJ0NW8sXjCUqqihFNrKNfQ"" /]"
"[title_desc name=""Portal 2 Map Launcher"" desc=""A simple but effective GUI for loading custom and stock portal 2 maps."" /]",[PRTL2 /],[kkratings id =321601],"[prev img=""http://s5.postimg.org/foh9p3qfb/portal_map_launcher.png"" /]",[source],"[mega id=""https://mega.nz/#F!9IIlgAYb!vc1Sew-h2hBQW40atFiHQw"" /]"
"[title_desc name=""Portal to Portal 2 Content Porter"" desc=""Greatly eases the process of porting content from Portal 1 to Portal 2."" /]",[PRTL2 /],[kkratings id =321602],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!gQAw0A5T!hhwL_ryrQgnJ1dhKN57-5w"" /]"
"[title_desc name=""Barebones"" desc=""Barebones sets up the necessary files to create a basic mod ."" /]",[DOTA2 /],[kkratings id =321603],"[prev img=""http://s5.postimg.org/wgbrzc5fr/library_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!JcR0gSgT!rMx-paF6qePa9AVYERbHDA"" /]"
"[title_desc name=""D2 Modkit"" desc=""The Dota 2 Modkit provides tools to make your life easier when working with Dota 2 Files for modding."" /]",[DOTA2 /],[kkratings id =321604],"[prev img=""http://s5.postimg.org/4rp4rtifb/dota2modkit.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!VNQiyCLA!bIk90gZ8OYy_i4-VxcbOIQ"" /]"
"[title_desc name=""Dota API snippets for Sublime Text 2/3"" desc=""Adds Code snippets for the LUA api if you work with Sublime Text"" /]",[DOTA2 /],[kkratings id =321605],"[prev img=""http://s5.postimg.org/3rytw439j/plug_in_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!1EQSTaiJ!Tfv5gUjaxyhTR-3VATWW_Q"" /]"
"[title_desc name=""Dota Custom Files Joiner"" desc=""Clever tool to help organize your custom file creation to avoid a mess."" /]",[DOTA2 /],[kkratings id =321606],"[prev img=""http://s5.postimg.org/ficrdhw1z/dota_custom_files_joiner.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!tVIFjIKY!hWwh_eW57k06yiHGBI1XmA"" /]"
"[title_desc name=""Dota2 Builder helper library"" desc=""A library to help make RTS-style and Tower Defense custom games in Dota 2"" /]",[DOTA2 /],[kkratings id =321607],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!wcAkyQZI!fpeOg5HcT1uaHNPnRekUAg""  /]"
"[title_desc name=""Emacs major mode for editing KeyValue files"" desc=""An Emacs major mode for editing files written in the KeyValues format that is used in Valve's Source engine. "" /]",[DOTA2 /],[kkratings id =321608],"[prev img=""http://s5.postimg.org/6bugq7qtj/no_preview.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!gJwGhbqD!AuGhqoyIVo1AzX8sCwUAFQ"" /]"
"[title_desc name=""KV Files Builder"" desc=""splitS the Dota 2 KV files into smaller files to make them easier to read / manage."" /]",[DOTA2 /],[kkratings id =321609],"[prev img=""http://s5.postimg.org/y5nre9g93/cmd_Tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!pIBiXJ4J!86XaRvNiC1ncBwVtJmAasw"" /]"
"[title_desc name=""KV Syntax highlighting and snippets for Sublime Text 2-3"" desc=""Valve's KV Syntax, Snippets, and plugins for Dota 2 Workshop's custom gamemode developers."" /]",[DOTA2 /],[kkratings id =321610],"[prev img=""http://s5.postimg.org/3rytw439j/plug_in_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!MAIikJCL!mG_YUQlp79RSpJfoIAUqPQ""  /]"
"[title_desc name=""KVLib A C# Key-Value parser and library"" desc=""Key Value Parsing library in C#"" /]",[DOTA2 /],[kkratings id =321611],"[prev img=""http://s5.postimg.org/wgbrzc5fr/library_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!kZ4CmaBD!spXkTMIMeNGzOIPyLpjxFQ"" /]"
"[title_desc name=""Lua API stub classes"" desc=""Publicly available snippets for Dota 2 Workshop Tools"" /]",[DOTA2 /],[kkratings id =321612],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!gZI2SAbR!0cLg9p7Us95qk_vbt8nodg""  /]"
"[title_desc name=""Source 2 Resource Decompiler"" desc=""Decompiles the various _c formats into the content assets, can be used to decompile dota assets."" /]",[DOTA2 /],[kkratings id =321613],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!IZAHmBBR!kUttZa8ikPT6f7Sgg5tPdg"" /]"
"[title_desc name=""Upgradeable Items KV Builder"" desc=""This script can be used to generate all the item levels and recipes for your items"" /]",[DOTA2 /],[kkratings id =321614],"[prev img=""http://s5.postimg.org/kjk5ev3if/script_tool.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!xJRR1Soa!Hhm4suNh-o4_uNh26wzyKQ"" /]"
"[title_desc name=""Dota2 Sound Editor"" desc=""The Dota 2 Sound Editor allows you to modify sounds for items, voices, music and hero spells."" /]",[DOTA2 /],[kkratings id =321615],"[prev img=""http://s5.postimg.org/4nzwpb2br/dota_2_sound_editor.png"" /]",[source_and_source2],"[mega id=""https://mega.nz/#F!FNBn0boY!ZQfy-HsoPY17azTFee5QLQ"" /]"
