Name / Description,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""How to make Windows installer for your mod automatically determines Steam folder"" desc=""How to make Windows installer for your mod automatically determines Steam folder"" link=""https://www.moddb.com/games/half-life/tutorials/how-to-make-windwos-installer-for-your-mod-automatically-determines-steam-folder"" /]",[unknown],"[author name=""Cybermax "" alt=""moddb"" img=""https://i.postimg.cc/fTP7cY6z/moddb-author.png"" /]"
"[tut_desc name=""Scripting vs. Entities"" desc=""Scripting vs. Entities"" link=""http://web.archive.org/web/20061027221645/http://collective.valve-erc.com/index.php?doc=1044694065-93758500"" /]",[unknown],"[author name=""Merl"" alt=""verc"" img=""https://i.postimg.cc/rsHbgHVc/verc-author.png"" /]"
"[tut_desc name=""How to increase FOV in any GoldSrc engine game"" desc=""How to increase FOV in any GoldSrc engine game"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=1605242936"" /]",[unknown],"[author name=""iriyap"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""Real-Time Photorealism"" desc=""Real-Time Photorealism"" link=""http://web.archive.org/web/20061027225332/http://collective.valve-erc.com/index.php?doc=1042230580-65380800"" /]",[unknown],"[author name=""DeathWish"" alt=""verc"" img=""https://i.postimg.cc/rsHbgHVc/verc-author.png"" /]"
"[tut_desc name=""Making and applying Icons and Grid Images to steam for Half-Life mods"" desc=""Making and applying Icons and Grid Images to steam for Half-Life mods"" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=276991683"" /]",[unknown],"[author name=""Cyber_DemiGod"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""Error Guide"" desc=""Goldsrc Error Guide"" link=""https://twhl.info/wiki/page/category%3AError_Guides%2BGoldsource_Errors"" /]",[unknown],"[author name=""twhl"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png"" /]"
"[tut_desc name=""Definitions for common Mapping Terms"" desc=""definitions for some common terms used when mapping and modding"" link=""https://twhl.info/wiki/page/category:Definitions"" /]",[unknown],"[author name=""twhl"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png"" /]"
"[tut_desc name=""Binds and aliases"" desc=""Excellent, someone who knows how to use bind and alias."" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=1105780255"" /]",[unknown],"[author name=""SubWoofer"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""Worldcraft 3.3 MAP File Format"" desc=""a brief explanation of all the various parts of the Worldcraft 3.3 map format"" link=""https://web.archive.org/web/20021219134401/http://valve-erc.com/resources/?page=33mapformat"" /]",[unknown],"[author name=""unknown"" alt=""verc"" img=""https://i.postimg.cc/rsHbgHVc/verc-author.png"" /]"
"[tut_desc name=""Client Side Commands (Fun/Misc)"" desc=""My guide is simply a series of images and text that describe some of the client-side commands "" link=""https://steamcommunity.com/sharedfiles/filedetails/?id=123390533"" /]",[tfc],"[author name=""Chuck Bronson"" alt=""steam"" img=""https://s5.postimg.cc/xxn9l8b2b/steam_community_author.png"" /]"
"[tut_desc name=""Custom Hull Size Tutorial "" desc=""Custom Hull Size Tutorial (sven co-op only)"" link=""https://forums.svencoop.com/showthread.php/35533-Custom-Hull-Size-Tutorial"" /]",[sven],"[author name=""A1win"" alt=""sven"" img=""https://s5.postimg.cc/h27a4jwgn/sven_author.png"" /]"
"[tut_desc name=""Global Custom Sentences"" desc=""Sentence replacement has been possible for many long years through Global Sound Replacement"" link=""https://forums.svencoop.com/showthread.php/45224-Global-Custom-Sentences"" /]",[sven],"[author name=""Hezus"" alt=""sven"" img=""https://s5.postimg.cc/h27a4jwgn/sven_author.png"" /]"
"[tut_desc name=""Setting up a Mod: Part 1, Custom Game feature"" desc=""Make use of the Custom Game Feature"" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_1_Custom_Game_feature"" /]",[hl],"[author name=""Vassy"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Half-Life Physics Reference"" desc=""This is an unofficial documentation for the physics governing the Half-Life universe. "" link=""https://www.jwchong.com/hl/"" download_link=""https://github.com/Matherunner/hldoc"" /]",[hl],"[author name=""Matherunner"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Rust Entity Guide"" desc=""Rust Entity Guide"" link=""http://web.archive.org/web/20070112203228/http://www.gamedesign.net/node/33#guide"" /]",[hl],"[author name=""Andy"" alt=""rust"" img=""https://s5.postimg.cc/77imzcj5v/rust.png""]"
"[tut_desc name=""Mod FAQ (German) "" desc=""FAQ on the MOD SDK written in German"" link=""http://web.archive.org/web/20070418000556/http://www.resourcecode.de/index.php?section=19"" /]",[hl],"[author name=""resource code"" alt=""resourcecode"" img=""https://s5.postimg.cc/93rxnu9z7/resourcecode.png""]"
"[tut_desc name=""Making your MOD name show up on Team Play games"" desc=""Making your MOD name show up on Team Play games"" link=""http://web.archive.org/web/20040804040300/http://www.planethalflife.com/hlprogramming/tutorial.asp?i=63"" /]",[hl],"[author name=""BIGman10in"" alt=""hlp"" img=""https://s5.postimg.cc/66l3uxjb7/hlp.png""]"
"[tut_desc name=""Rendering Properties"" desc=""Most brush-based and model-based (monsters, etc) point entities allow you to set their rendering properties. "" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/renderproperties.shtml"" /]",[hl],"[author name=""HERC"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Framerates And R_Speeds"" desc=""an indepth look at the issue of r_speeds and framerate, using two popular multiplayer maps as testing grounds. This is a must read for new level designers."" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/fpschart.shtml"" /]",[hl],"[author name=""Phil Daniels"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Editing skill.cfg"" desc=""The skill.cfg file defines the amount of health, the weapon strength of a monster, and the player's weapon strengths."" link=""http://web.archive.org/web/20081003012635/http://www.vlatitude.com/tutorials.php?tutID=38"" /]",[hl],"[author name=""Brian"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Half-Life directories"" desc=""What is in the Pak0.pak file?"" link=""https://twhl.info/wiki/page/Tutorial%3A_Half-Life_directories"" /]",[hl],"[author name=""paulkennedy"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Frequently Asked Questions"" desc=""The majority of email received by Worldcraft support is from people experiencing many of the same problems. The most common problems are listed here."" link=""http://web.archive.org/web/http://halflife.gamedesign.net/resources/faq.shtml"" /]",[hl],"[author name=""Dave Johnson"" alt=""herc"" img=""https://s5.postimg.cc/8b4jt9n2b/herc.png""]"
"[tut_desc name=""Setting up a Mod: Part 3, Game Strings"" desc=""Modifying Game Strings"" link=""https://twhl.info/wiki/page/Tutorial%3A_Setting_up_a_Mod%3A_Part_3_Game_Strings"" download_link=""https://mega.nz/#F!QA4n1Y5a!1GDJH_kCQy82ym2-gopTcg"" /]",[hl],"[author name=""Steinin"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
