Name / Purpose,Rating,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""Darkulator"" desc=""Adjust the light levels in a map"" /]",[kkratings id=178800],"[prev img=https://s5.postimg.cc/9wwt4b4w7/screenshot_3.png /]
",[goldsrc],[mega id=https://mega.co.nz/#F!wdRiwaRS!ka3FKbKti_tR9VpAsOhNrQ /]
"[title_desc name=""BSP Edit"" desc=""View and Edit the Entity information of a compiled BSP Map"" /]",[kkratings id=178801],[prev img=https://s5.postimg.cc/6k8qiio3r/image.jpg /],[goldsrc],[mega id=https://mega.co.nz/#F!hd5VTBSJ!6EPiMZBCdKcvIWWtsDCOog /]
"[title_desc name=""Half Life Automap"" desc=""Generate a random map for Half-Life based on criteria you set in the application"" /]",[kkratings id=178802],[prev img=https://s5.postimg.cc/5cze41nd3/2015_02_12_0749.png /],[goldsrc],[mega id=https://mega.co.nz/#F!pYwVwBDL!jm-cpeeGGoOy_WKOVVfMrw /]
"[title_desc name=""Batch Compiler"" desc=""Batch compile Source and GoldSrc Maps"" /]",[kkratings id=178803],[prev img=https://s5.postimg.cc/5r5bhdwuf/bc1.png /],[goldsrc_and_source],[mega id=https://mega.co.nz/#F!lMpwFB6S!x9Vy0CtieqbdS73cPUOq_w /]
"[title_desc name=""BSP2MAP"" desc=""Decompile GoldSrc .bsp files into Hammer .map files."" /]",[kkratings id=178804],[prev img=https://s5.postimg.cc/wu2zssosn/2015_02_12_1059.png /],[goldsrc],[mega id=https://mega.co.nz/#F!RIw2GarB!SErCmOoxxoW-YygMjiViLw /]
"[title_desc name=""BSP Source"" desc=""Decompile Source .bsp files into Hammer .vmf files. Successor to VMEX"" /]",[kkratings id=178805],[prev img=https://s5.postimg.cc/5mfmg48p3/bspsrc_1_3.png /],[source],[mega id=https://mega.co.nz/#F!8YhiXDaQ!3bg91hvTDLcC9Zsh85nIBw /]
"[title_desc name=""BSP Unprotect"" desc=""Decrypt files that have been protected with BSPProtect (commandline)"" /]",[kkratings id=178806],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[source],[mega id=https://mega.nz/#F!ldhi2ILQ!Ezi7U_Rg3wcJ8V898PYxEA /]
"[title_desc name=""FGD Wikifier"" desc=""Create an easily readable version of an FGD (commandline)"" /]",[kkratings id=178807],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc_and_source],[mega id=https://mega.nz/#F!dBBCTaBQ!vXueyuGonhbt_2ZcOLJD6w /]
"[title_desc name=""Vmex Mod"" desc=""Valve Map Extractor modified version (Successor to VMEX)"" /]",[kkratings id=178808],[prev img=https://s5.postimg.cc/680bp75vr/vmex_pic.jpg /],[source],[mega id=https://mega.nz/#F!ZE4R3TCb!yzUGTmV2CnIT8Ehx-_rJdQ /]
"[title_desc name=""Vmex"" desc=""Valve Map Extractor, Decompile BSP maps for source (original version)"" /]",[kkratings id=178809],[prev img=https://s5.postimg.cc/680bp75vr/vmex_pic.jpg /],[source],[mega id=https://mega.nz/#F!Yd4jyS4L!bXYHaLdqh95Uv3EbpY-bWw /]
"[title_desc name=""HDR Targa Tools"" desc=""Tools to aid in creation of HDR Targa files (command line)"" /]",[kkratings id=178810],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc_and_source],[mega id=https://mega.nz/#F!xV5w1CyS!SnTY1T2RqIkOfgTXaUPw0Q /]
"[title_desc name=""Custom Lightstyle Generator"" desc=""Create a custom light style for your goldSrc maps"" /]",[kkratings id=178811],[prev img=https://s5.postimg.cc/abnbqbjpj/52eba89bb3b04.jpg /],[goldsrc],[mega id=https://mega.nz/#F!VdRXmJBA!zsa5GtLHucDpEyU0f6uFeA /]
"[title_desc name=""BSP Viewer"" desc=""Preview a map contained in a BSP file."" /]",[kkratings id=178812],[prev img=https://s5.postimg.cc/5r15be007/bv1.jpg /],[goldsrc],[mega id=https://mega.nz/#F!cNh0gb5b!xUzG4qvF-tcQ5bIIlPkZHA /]
"[title_desc name=""Crafty"" desc=""Crafty is a 3D object, material, model and file browsing utility for Source &amp; GoldSrc Maps."" /]",[kkratings id=178813],[prev img=https://s5.postimg.cc/4d9ig30qv/crafty4.jpg /],[goldsrc_and_source],[mega id=https://mega.nz/#F!hYoATbZD!t3OQXx20c9eLV7-oVixP7g /]
"[title_desc name=""Custom FGDs GoldSrc"" desc=""A collection of FGD's for GoldSrc"" /]",[kkratings id=178814],[prev img=https://s5.postimg.cc/jahzh3dzb/download.jpg /],[goldsrc],[mega id=https://mega.nz/#F!gYxQgCyD!iEjH6J80pczjHi4dMRkiMw /]
"[title_desc name=""Automap"" desc=""Random SP map generator for Half-Life"" /]",[kkratings id=178815],[prev img=https://s5.postimg.cc/ck3e0oz2f/2433.jpg /],[goldsrc],[mega id=https://mega.nz/#F!pYwVwBDL!jm-cpeeGGoOy_WKOVVfMrw /]
"[title_desc name=""Custom Batch File Manager"" desc=""This program will help you to manage all your customs files, for your maps , texture, models or mods "" /]",[kkratings id=178816],[prev img=https://s5.postimg.cc/x8p0c537r/537a0763d1aaa.jpg /],[goldsrc_and_source],[mega id=https://mega.nz/#F!xcxBlJDY!ztoHARutN0Ad--oO9dfkAQ /]
"[title_desc name=""Valve Batch Compile Tool"" desc=""Valve Batch Compile tool (VBCT) is a source map Compile tool"" /]",[kkratings id=178817],[prev img=https://s5.postimg.cc/pqagh918n/vbct.png /],[source],[mega id=https://mega.nz/#F!tFgEkbpL!pINUwEkUWIE1Mwy6j4YuNw /]
"[title_desc name=""BSP Tools"" desc=""Contains 3 Tools, BSP_View, BSP_Tool and BSP_Slicer all of which perform useful tasks on Half-Life Maps"" /]",[kkratings id=178818],[prev img=https://s5.postimg.cc/z1wie7ds7/u_http_nemesis_thewavelength_net_images_image.jpg /],[goldsrc],[mega id=https://mega.nz/#F!pIgiyRLI!FhXuGnwY9lBeB4pltloj9g /]
"[title_desc name=""BSP View"" desc=""Preview a map contained in a BSP file."" /]",[kkratings id=178819],[prev img=https://s5.postimg.cc/z1wie7ds7/u_http_nemesis_thewavelength_net_images_image.jpg /],[goldsrc],[mega id=https://mega.nz/#F!kRQGmKpb!v2jP5Zq0mxp-iwuuwMpW3w /]
"[title_desc name=""Cancel Compile"" desc=""Batch files for killing the compile processes"" /]",[kkratings id=178820],[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc_and_source],"[mega id=""https://mega.nz/#F!oUhQ0Rra!TCSnENRfdXgmxugc6My8SA"" /]"
"[title_desc name=""Color Correct"" desc=""Color Correct is a 3DS Max texture plug-in which alters the colors of any texture"" /]",[kkratings id=178821],[prev img=http://www.cuneytozdas.com/software /],[all_engines],"[mega id=""https://mega.nz/#F!VUAxkYxB!y2zDpdj9INDFsDjG3NDubw"" /]"
"[title_desc name=""Compile Pal"" desc=""A tool to assist in the compiling of source engine maps"" /]",[kkratings id=178822],"[prev img=""https://s5.postimg.cc/exvxysvlz/687474703a2f2f692e696d6775722e636f6d2f4433757376.png"" /]",[source],"[mega id=""https://mega.nz/#F!oEJ1WQzB!oTugepo8goM3m_JskZF5wQ"" /]"
