Name / Purpose,Rating,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""SFMMod"" desc=""Assists new and old SFM users with installing SFM mods/content quick and simple."" /]","[kkratings id=""327400""]","[prev img=""https://s5.postimg.cc/b8jddornr/Zxy_Qz_Oi.png"" /]",[sfm],"[mega id=""https://mega.nz/#F!4cRSDDja!VI1SL3_ZHi8qiAVVzxgI_A"" /]"
"[title_desc name=""Animation Group Editor"" desc=""This script is used to help with organizing the animation sets of custom models."" /]","[kkratings id=""327401""]","[prev img=""https://s5.postimg.cc/qxz3rmyh3/jpg_iyi_Gwvl_750x500_q85_crop.jpg"" /]",[sfm],"[mega id=""https://mega.nz/#F!kYQlhB5Q!YpyYLxnD7ugQ_935Wxf3Ow"" /]"
"[title_desc name=""Auto-Rigger for Biped Models"" desc=""This script is used to help with creating the ik rig.py files for biped models. this script only supports 2-4 spine bones. "" /]","[kkratings id=""327402""]","[prev img=""https://s5.postimg.cc/hepey6ayv/u_png_750x500_q85_crop.png"" /]",[sfm],"[mega id=""https://mega.nz/#F!wZBnUY6I!KuOWMvWgYHZyHnM-f5Q55g"" /]"
"[title_desc name=""Anonymous Universal Animgroups"" desc=""Script for helping sort animgroups in sfm"" /]","[kkratings id=""327403""]","[prev img=""https://s5.postimg.cc/4btsewkqv/bonegroups_jumbo_qi3_JRYe_png_750x500_q85_crop.jpg"" /]",[sfm],"[mega id=""https://mega.nz/#F!lI4EkbIK!77FPea2sf3iLHzk7nj3NWg"" /]"
"[title_desc name=""A More Universal SFM Rig Script"" desc=""Sometimes you may find out that the model you want to pose/animate doesn't like the rig_biped_simple."" /]","[kkratings id=""327404""]","[prev img=""https://s5.postimg.cc/8xaacj6dj/rig_pic.png"" /]",[sfm],"[mega id=""https://mega.nz/#F!lERhmJiL!AF_3hv3xEeF-HrKT11s37Q"" /]"
"[title_desc name=""The Assembly Script"" desc=""This script assembles multi-part DotA 2 heroes. It's used like a IK rig script."" /]","[kkratings id=""327405""]","[prev img=""https://s5.postimg.cc/ukz8mz6rr/asmy.png"" /]",[sfm],"[mega id=""https://mega.nz/#F!sRIF0RyL!8ytzyPdwbQJ6RzIC56NCfA"" /]"
"[title_desc name=""SFMPhys"" desc=""Physics System Plugin for SFM"" /]","[kkratings id=""327406""]","[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[sfm],"[mega id=""https://mega.nz/#F!1EYWwA7L!87Xkz4qj4XamQb0CC2RsNg"" /]"
"[title_desc name=""The Portal 2 Interactive Filmmaker (IFM)"" desc=""The IFM is an early internal build of SFM from mid 2011 designed to run on the Portal 2 branch of Source!"" /]","[kkratings id=""327407""]","[prev img=""https://s5.postimg.cc/xy7xt2haf/Scenebuild.png"" /]",[sfm],"[mega id=""https://mega.nz/#F!MF5ynCKD!Pe2a9noTGrpVw3fdsLNy3A"" /]"
"[title_desc name=""VolvoWrench"" desc=""This is a GoldSource and Source engine save and demo parser and manager. "" home_link=""http://traderain.hu/VolvoWrench/"" /]","[kkratings id=""327408""]","[prev img=""https://s5.postimg.cc/aupvgo72f/image.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!hQxBGJwQ!q9NymIP37UA8qMp3nsCoHA"" /]"
"[title_desc name=""Listdemo"" desc=""A simple c# parser for .dem source engine demos. "" home_link=""https://github.com/Traderain/Listdemo-"" /]","[kkratings id=""327409""]","[prev img="""" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!AcR1laIS!3IcR1jDwV3-tp4vdIKoA5Q"" /]"
"[title_desc name=""HL2DemoPauser"" desc=""A tool to pause hl2 demos at x tick"" home_link=""https://github.com/Traderain/HL2DemoPauser"" /]","[kkratings id=""327410""]","[prev img="""" /]",[source],"[mega id=""https://mega.nz/#F!NZBHDI7Z!egU2XQBgC-fUkHg0_QR0cA"" /]"
