Name / Purpose,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""Sprite Fixer"" desc=""Make some simple changes to Sprites"" /]","[prev img=""https://s5.postimg.cc/ffysr2w07/157.jpg"" /]",[goldsrc],"[mega id=""https://mega.co.nz/#F!FNwXSD6b!BSDWYE6XFV8E-jdCI2yHmQ"" /]"
"[title_desc name=""HL TagConverter"" desc=""Convert an Image to a Spray"" /]","[prev img=""https://s5.postimg.cc/44w52pp53/image.jpg"" /]",[goldsrc],"[mega id=""https://mega.co.nz/#F!4dwF3RDY!7CO9JCAB3wUnu0lm4fF5vw""  /]"
"[title_desc name=""Auto Seamer"" desc=""Create a seamless tileable texture from an input image"" /]","[prev img=""https://s5.postimg.cc/h3dblfg5j/autoseamer.jpg"" /]",[goldsrc_and_source],"[mega id=""https://mega.co.nz/#F!ME41iYrZ!NyLL0VDEcyij8zxjQ_sm-Q"" /]"
"[title_desc name=""VMT Batch Creator"" desc=""Create Material definitions for textures using this tool"" /]","[prev img=""https://s5.postimg.cc/i6xfxe0sn/52893dfa92ee7.jpg"" /]",[source],"[mega id=""https://mega.co.nz/#F!EVAwFTwK!kVOl_ASiqJlW0kogLD3bDA"" /]"
"[title_desc name=""3T Previewer"" desc=""Check if your textures tile correctly"" /]","[prev img=""https://s5.postimg.cc/z7jnqmdjb/image.png"" /]",[all_engines],"[mega id=""https://mega.nz/#F!BFh0HJKS!1CP-VK3gSWIiaaa1YguWaw"" /]"
"[title_desc name=""360"" desc=""View and edit VMT files for Source"" /]","[prev img="""" /]",[source],"[mega id=""https://mega.nz/#F!4A4D2RwJ!A31G0AJnuuOKhP4xp1EJpQ"" /]"
"[title_desc name=""Color Logo Maker"" desc=""Create colored logos for Half-Life"" /]",[prev img=https://s5.postimg.cc/y5nre9g93/cmd_Tool.png /],[goldsrc],"[mega id=""https://mega.nz/#F!NMJEUKJB!8fIeAQ5RP53atvROu2sfoA"" /]"
"[title_desc name=""dDo"" desc=""dDo Legacy, free for commercial Use, pre PBR, great texturing tool plugin for Photoshop"" /]",[prev img=https://s5.postimg.cc/f2q3l5jpj/u_http_files_gamebanana_com_bitpit_ddo_logo2.png /],[all_engines],"[mega id=""https://mega.nz/#F!cVxywDAZ!NYz2a5nC88mboWsK5V5RUQ"" /]"
"[title_desc name=""Decal converter"" desc=""Turn images into Decal files (WAD format)"" /]",[prev img=https://s5.postimg.cc/dc72jo26f/Decal_Converter_1.png /],[goldsrc],"[mega id=""https://mega.nz/#F!BYIknbjL!1H5lBKU6xjZ-HpT98ZwHRw"" /]"
"[title_desc name=""easyspritemaker"" desc=""View sprites and play them back"" /]",[prev img=https://s5.postimg.cc/fusrkcnwn/51a1cf1d86a66.jpg /],[goldsrc],"[mega id=""https://mega.nz/#F!ZN5S0LRA!BtGeGD6PFDNfeqGy4qMg_w"" /]"
"[title_desc name=""Gimp tools"" desc=""Small collection of GIMP plugins for Valves Engines"" /]",[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png /],[all_engines],"[mega id=""https://mega.nz/#F!0BBngSKC!XLuFSP_p-lrQzTp-T7YO9Q"" /]"
"[title_desc name=""Crosshair Factory"" desc=""This is the ""All_you'll_ever_need_for_Sprite_generation_Pack"" for: HalfLife."" /]",[prev img=https://s5.postimg.cc/6bugq7qtj/no_preview.png /],[goldsrc],"[mega id=""https://mega.nz/#F!xEJ2kSba!PGdC78yhQhbsq4ReeZWUzA"" /]"
