Name / Purpose,Rating,"<img src=""https://s5.postimg.cc/hcrrlhu9z/camera_2.png"" width=""20"" height=""17"" title=""Screenshot"">",Engine,"<img src=""https://s5.postimg.cc/5ipco5hc3/DL_WHITE.png"" width=""28"" height=""21"" class=""alignnone"" style=""margin-top: 4px;margin-left: 8px"" />"
"[title_desc name=""3DRipperDX"" desc=""Rip DirectX content from games"" /]",[kkratings id=313200],"[prev img=""https://s5.postimg.cc/4w4mzot1j/3dr1.jpg"" /]",[all_engines],"[mega id=""https://mega.nz/#F!UZAgwSBa!2l4qsgwi0TRxVv9ZdXOFgA"" /]"
"[title_desc name=""Alura &amp; Zoe for Nightfire"" desc=""Tools which can decompress and compress Nightfire's .007 archives."" /]",[kkratings id=313201],"[prev img=""https://s5.postimg.cc/y5nre9g93/cmd_Tool.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!oAwR2DhL!ndQUKFPw695k8DLDd3uYQg"" /]"
"[title_desc name=""Animation timing tools"" desc=""Tools for aiding in the creation of animations for view player models"" /]",[kkratings id=313202],"[prev img=""https://s5.postimg.cc/n07nkbqpz/att.png"" /]",[source],"[mega id=""https://mega.nz/#F!cNgX2IrA!j6VjXo1BOXvgF7jqp07wZA"" /]"
"[title_desc name=""ATI hammer fix"" desc=""AMD dropped opengl support at one stage for their drivers and this helps rectify the issue"" /]",[kkratings id=313203],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!0Vxl1KIB!ySrWg0ev-4RY35r52Bvl9w"" /]"
"[title_desc name=""BZIP2"" desc=""Compression tool used to create small files that can be transmitted by servers to gamers"" /]",[kkratings id=313204],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[all_engines],"[mega id=""https://mega.nz/#F!MEIUgTLD!suB_B1bKrrYYhGOSQmcY0w"" /]"
"[title_desc name=""BZIP2 tool"" desc=""GUI frontend for BZIP2"" /]",[kkratings id=313205],"[prev img=""https://s5.postimg.cc/c20zfvrif/bzip2tool.png"" /]",[all_engines],"[mega id=""https://mega.nz/#F!BcJ2yLDZ!Z3vwTpQjDSJDpQmzGTiWJw"" /]"
"[title_desc name=""Cached.wad and gfx.wad SDK"" desc=""WAD Compiler"" /]",[kkratings id=313206],"[prev img=""https://s5.postimg.cc/fzo95aebr/compilerwad.png"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!oBAkQbra!82inO7WUFfCIxJ85jqAhIw"" /]"
"[title_desc name=""cf sdktools"" desc=""Here are compiled versions of some of the tools from the source sdk released on 12/1/2004."" /]",[kkratings id=313207],"[prev img=""https://s5.postimg.cc/y5nre9g93/cmd_Tool.png"" /]",[source],"[mega id=""https://mega.nz/#F!pMABgZzR!pRSWgqXC9ug7RX55HOp1bg"" /]"
"[title_desc name=""Collective Valve ERC Entity Documentation"" desc=""Documentation for the goldsrc sdk entities"" /]",[kkratings id=313208],"[prev img=""https://s5.postimg.cc/6bugq7qtj/no_preview.png"" /]",[goldsrc],"[mega id=""[prev img=""https://mega.nz/#F!gMBEQYSK!C-AnPjr6ynvb87TajCc96g"" /]"
"[title_desc name=""Content Installer Multi game"" desc=""Content installer for some source games"" /]",[kkratings id=313209],"[prev img=""https://s5.postimg.cc/y5nre9g93/cmd_Tool.png"" /]",[source],"[mega id=""https://mega.nz/#F!hIxHgDbZ!KsYGbBZ2M8hHa0IPBwIKuQ"" /]"
"[title_desc name=""CTX Converter"" desc=""Ctx converter removes the hassle of having to type in correct cmd commands to decompile ctx files"" /]",[kkratings id=313210],"[prev img=""https://s5.postimg.cc/s2tksupdz/Ctx_Conveerter.png"" /]",[source],"[mega id=""https://mega.nz/#F!EdAgyIgZ!VDENJ9QWkqv97-zYPdOf8Q"" /]"
"[title_desc name=""Cue List Tool"" desc=""Create cues in WAV sound files"" /]",[kkratings id=313211],"[prev img=""https://s5.postimg.cc/pa0d8tp1j/scrnshot.gif"" /]",[all_engines],"[mega id=""https://mega.nz/#F!9MojTYgJ!0XKJCrlb8BX5-BUAnFP5GQ"" /]"
"[title_desc name=""Custom Compiler GUI"" desc=""Allows users to change the settings for the compiler(s) they wish to run"" /]",[kkratings id=313212],"[prev img=""https://s5.postimg.cc/6671shc7b/ccgui.png"" /]",[goldsrc_and_source],"[mega id=""https://mega.nz/#F!QQZnUbyI!IOE5wzWH8dss0oiDYPMOAA"" /]"
"[title_desc name=""Custom Content Manager"" desc=""Manages custom content for source engine games"" /]",[kkratings id=313213],"[prev img=""https://s5.postimg.cc/fs0m8s3d3/ccm.png"" /]",[source],"[mega id=""https://mega.nz/#F!sQAhgbLT!HZBc1WdnDB5gLHehDoSi1g"" /]"
"[title_desc name=""Demo freak"" desc=""a tool for game replays recorded with Half-Life."" /]",[kkratings id=313214],"[prev img=""https://s5.postimg.cc/446ke8e87/0_ss.gif"" /]",[goldsrc],"[mega id=""https://mega.nz/#F!hYgwHQYA!7JpFjEC0xztYegmpjTjrkg"" /]"
"[title_desc name=""DuctTape"" desc=""A development integration and project building tool for Source Engine modders."" /]",[kkratings id=313215],"[prev img=""https://s5.postimg.cc/slyo24gsn/ducttape_screenshot_1.png"" /]",[source],"[mega id=""https://mega.nz/#F!tAQRnZwB!gY0GgetM-qgP8i9c3Arc6w"" /]"
"[title_desc name=""Error Checker"" desc=""Checks for errors in your map"" /]",[kkratings id=313216],"[prev img=""https://s5.postimg.cc/y5nre9g93/cmd_Tool.png"" /]",[source],"[mega id=""https://mega.nz/#F!4NAGwa4T!CXQDRyt_R2ppaGdYVW-4Jw"" /]"
