Name / Description,Rating,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Using the arch tool in Hammer 3.5"" desc=""Video tutorial explaining how to use the Arch tool inside Hammer"" link=""http://www.isolated-design.de/tutorials/using-the-arch-tool-in-hammer-3-5-video-tutorial/"" home=0 /]",[kkratings id=310600],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""A little Hammer FAQ"" desc=""Some common FAQ based on hammer"" link=""http://www.isolated-design.de/tutorials/a-little-hammer-faq/"" home=0 /]",[kkratings id=310601],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""Cylindric texture alignment in Hammer 3.5"" desc=""Short video tutorial explaining the process involved in texture alignmnet for cylinders"" link=""http://www.isolated-design.de/tutorials/cylindric-texture-alignment-in-hammer/"" home=0 /]",[kkratings id=310602],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""Basic terrain mapping in Hammer 3.5"" desc=""Video Tutorial covering basic terrain mapping in hammer"" link=""http://www.isolated-design.de/tutorials/basic-terrain-mapping-in-hammer/"" home=0 /]",[kkratings id=310603],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""Brushing a pipe curve in Hammer 3.5"" desc=""In this tutorial you learn how to create a proper looking curve for a cylindric brush object"" link=""http://www.isolated-design.de/tutorials/brushing-a-pipe-curve-in-hammer/"" home=0 /]",[kkratings id=310604],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""Übersetzung der Modelling for Half-Life.doc aus dem HL-SDK 2.2"" desc=""German translation of the Half-Life.doc from the SDK."" link=""http://www.isolated-design.de/tutorials/modelling-for-half-life-doc-deutsch/"" home=0 download_link=""https://mega.nz/#F!MJBjDAZJ!CYvWTGIibGG9rAphlBEIkQ"" /]",[kkratings id=310605],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""Einführung in den Hammer Editor 3.5"" desc=""Introduction to hammer in German."" link=""http://www.isolated-design.de/tutorials/einfuehrung-in-den-hammer-editor-3-5/"" home=0 download_link=""https://mega.nz/#F!1YgRVIRS!_EG0nkHnFbVrHbLgDNDtgw"" /]",[kkratings id=310606],[HL],"[author name=""isolated-design"" alt=""isolated"" img=""https://s5.postimg.cc/i9swtil1f/isolated_author.png""]"
"[tut_desc name=""Carving"" desc=""What is carving in hammer and how to do it."" link=""https://twhl.info/wiki/page/Tutorial%3A_Carving"" home=0 /]",[kkratings id=310607],[HL],"[author name=""TheGrimReafer"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Map Layout Theory for Counter Strike"" desc=""How to layout your level for Counter Strike"" link=""https://twhl.info/wiki/page/Tutorial%3A_Map_Layout_Theory_for_CS"" home=0 /]",[kkratings id=310608],[CS],"[author name=""Skals"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Adding Atmosphere"" desc=""A dialogue about getting horror into your map"" link=""https://twhl.info/wiki/page/Tutorial%3A_Adding_Atmosphere"" download_link=""https://mega.nz/#F!QIxAwTKC!VleUg3o8fpVwIh0rHNcBqg"" home=0 /]",[kkratings id=310609],[HL],"[author name=""BrattyLord"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
