Name / Description,Rating,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Introduction to GoldSrc Programming - Setting up Visual Studio"" desc=""A detailed tutorial covering the setup of Visual Studio for work with GoldSrc"" link=""http://www.sourcemodding.com/tutorials/goldsrc/programming/intro-to-goldsrc-programming-setting-up-visual-studio/"" home=1 /]","[kkratings id=""247900""]",[HL],"[author name=""sourcemodding"" alt=""sourcemodding"" img=""https://s5.postimg.cc/qqsf4fpqb/sourcemodding_author.png""]"
"[tut_desc name=""Coding Fog"" desc=""How to code in some fog in your mod"" link=""https://twhl.info/wiki/page/Tutorial%3A_Coding_Fog"" download_link=""https://mega.nz/#F!1JpyBTpI!8aF22-2NYDe_eZFFo1FtFg"" home=0 /]","[kkratings id=""247901""]",[HL],"[author name=""Highlander"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Coding NPCs in GoldSrc"" desc=""This tutorial will lead you through the arcane art of adding fog to your mod"" link=""https://twhl.info/wiki/page/Tutorial%3A_Coding_NPCs_in_GoldSrc"" download_link=""https://mega.nz/#F!IcYAjDLD!G-j48DO9uEiw9TpD_f1MAg"" home=0 /]","[kkratings id=""247903""]",[HL],"[author name=""dexter"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Building the hlds_l Linux .so"" desc=""How to get Half-Life's server to compile and run on Linux boxes worldwide"" link=""http://articles.thewavelength.net/617/"" home=0 /]","[kkratings id=""247904""]",[HL],"[author name=""Vino"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Using the Persistence Engine with Half-Life"" desc=""This article describes first line-by-line how to create a program that uses the Persistence Engine, and then suggests some ways to use it in a Half-Life mod."" link=""http://articles.thewavelength.net/617/"" download_link=""https://mega.nz/#F!UN4CFBCb!INVqpLwS2uyA_Ip-P0gNUg"" home=0 /]","[kkratings id=""247905""]",[HL],"[author name=""Persuter"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Installing Your Mod on Steam"" desc=""Have you tried to install your mod on steam and you just can't do it well i aim to give a little insight into this problem."" link=""http://articles.thewavelength.net/517/"" download_link=""https://mega.nz/#F!URI0Qaha!ZiUX8nrQWZWURz7Up_iwTw"" home=0 /]","[kkratings id=""247906""]",[HL],"[author name=""myristate"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Hints on how to program a Half-Life mod"" desc=""This article tries to give hints to would-be HL mod authors in many different aspects of the programming experience."" link=""http://articles.thewavelength.net/440/"" home=0 /]","[kkratings id=""247907""]",[HL],"[author name=""Persuter"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Debugging your mod using steam"" desc=""A small guide, written by Valve's Alfred Reynolds, on how to debug your mod in steam."" link=""http://articles.thewavelength.net/382/"" home=0 /]","[kkratings id=""247908""]",[HL],"[author name=""Bulk"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""HUD Sprites"" desc=""Understanding hud.txt"" link=""http://articles.thewavelength.net/275/"" home=0 /]","[kkratings id=""247909""]",[HL],"[author name=""thenerd"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Downloading and setting up the Half-Life SDK"" desc=""Understanding hud.txt"" link=""http://web.archive.org/web/20070311194939/http://articles.thewavelength.net/274/"" home=0 /]","[kkratings id=""247910""]",[HL],"[author name=""Persuter"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""'Dynamic' skies in Half-Life"" desc=""Controllable skies"" link=""http://articles.thewavelength.net/263/"" home=0 /]","[kkratings id=""247911""]",[HL],"[author name=""Patrick"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Building the Half-Life DLLs"" desc=""with the Microsoft Command-Line Compiler"" link=""http://articles.thewavelength.net/218/"" home=0 /]","[kkratings id=""247912""]",[HL],"[author name=""Entropy"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Debugging in Visual Studio 6"" desc=""Debugging in Visual Studio 6"" link=""http://web.archive.org/web/20041026205607/http://articles.thewavelength.net/211/"" home=0 /]","[kkratings id=""247913""]",[HL],"[author name=""omega"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Dynamic NPC Stepping Sound"" desc=""Replace default set of NPC stepping sounds with the set from the texture they're walking on."" link=""http://articles.thewavelength.net/574/"" home=0 /]","[kkratings id=""247914""]",[HL],"[author name=""ts2do"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Checkpoint system for spawnpoints"" desc=""A checkpoint system designed for cooperative play but possible in other game modes."" link=""http://articles.thewavelength.net/522/"" home=0 /]","[kkratings id=""247915""]",[HL],"[author name=""jim_the_coder"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""CoD/Halo style weapon switching"" desc=""How to implement call of Duty/Halo style weapon slots and switching."" link=""http://articles.thewavelength.net/444/"" home=0 /]","[kkratings id=""247916""]",[HL],"[author name=""ICR"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
