Name / Description,Rating,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Menu Music in Steam"" desc=""Play an MP3 in your mod's startup screen."" link=""http://articles.thewavelength.net/410/"" home=0 /]","[kkratings id=""393900""]",[HL],"[author name=""Doofus"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Sentence Scripting"" desc=""This is where the file 'sentences.txt' in \valve\sounds comes up."" link=""http://articles.thewavelength.net/230/"" home=0 /]","[kkratings id=""393901""]",[HL],"[author name=""RaveN"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Getting Sounds to Loop In-game"" desc="" I explain how to prepare sounds so they loop properly in game."" link=""http://articles.thewavelength.net/229/"" home=0 /]","[kkratings id=""393902""]",[HL],"[author name=""RaveN"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Clear Recording"" desc=""Setting up equipment for noiseless recording"" link=""http://articles.thewavelength.net/228/"" home=0 /]","[kkratings id=""393903""]",[game_multi],"[author name=""RaveN"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Basics Of Sound Design"" desc=""To create atmospheric soundeffects, you need to keep several basic rules in mind."" link=""http://articles.thewavelength.net/227/"" home=0 /]","[kkratings id=""393904""]",[game_multi],"[author name=""RaveN"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Making Custom Sounds"" desc=""Recording and preparing sounds for use in HL. Some aspects also apply to Source."" link=""https://twhl.info/wiki/page/Tutorial%3A_Making_Custom_Sounds"" download_link=""https://mega.nz/#F!hZR3TTiC!wvW8MNPA6tjUg4TMYOnjMw"" home=0 /]","[kkratings id=""393905""]",[game_multi],"[author name=""alexb911"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Sound Tutorial"" desc=""A level just isn't a level without some sort of sound in it, whether it be the sounds of computers in a computer room or a CD audio track."" link=""http://web.archive.org/web/20081003012831/http://www.vlatitude.com/tutorials.php?tutID=7"" home=0 /]","[kkratings id=""393906""]",[HL],"[author name=""Brian"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Scripted Sentences"" desc=""Want to get those NPCs talking? Read on!"" link=""http://web.archive.org/web/20081003012408/http://www.vlatitude.com/tutorials.php?tutID=11"" home=0 /]","[kkratings id=""393907""]",[HL],"[author name=""Vlad "" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Custom Sounds Tutorial"" desc=""Custom Sounds Tutorial"" link=""http://web.archive.org/web/20050205223600/http://www.planethalflife.com/izuno/sound_tut.htm"" home=0 /]","[kkratings id=""393908""]",[HL],"[author name=""izuno"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png""]"
"[tut_desc name=""Looping Ambient Generic Sounds"" desc=""How to loop those ambient_generic sounds."" link=""http://web.archive.org/web/20060113103731/http://countermap.counter-strike.net/Tutorials/tutorial.php?id=21"" home=0 /]","[kkratings id=""393909""]",[CS],"[author name=""Relic25"" alt=""counter-map"" img=""https://s5.postimg.cc/w4mxj05j7/counter_map.png""]"
"[tut_desc name=""Formatting Sound Files Using Goldwave"" desc=""How to convert sounds to proper HL format using Goldwave"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/88/Formatting_Sound_Files_Using_Goldwave"" home=0 /]","[kkratings id=""393910""]",[game_multi],"[author name=""fokker"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""HL Sound Files"" desc=""A perfect mixdown for your ingame sounds."" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/87/HL_Sound_Files"" home=0 /]","[kkratings id=""393911""]",[HL],"[author name=""Forceflow"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Mixing Weapon Sounds"" desc=""the low tech way..."" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/51/Mixing_Weapon_Sounds"" home=0 /]","[kkratings id=""393912""]",[HL],"[author name=""Namphibian"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""How to add menu music"" desc=""How to add menu music"" link=""https://gamebanana.com/tuts/12344"" /]","[kkratings id=""393913""]",[CS],"[author name=""VeldroN"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
"[tut_desc name=""Complete Music Tutorial (CS 1.6)"" desc=""A complete music tutorial for GoldSource-based games"" link=""https://gamebanana.com/tuts/12143"" /]","[kkratings id=""393914""]",[CS],"[author name=""Admer456"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
"[tut_desc name=""SOUND EDITING TUTORIAL"" desc=""SOUND EDITING TUTORIAL"" link=""https://gamebanana.com/tuts/10740"" /]","[kkratings id=""393915""]",[CS],"[author name=""Tatwaffe"" alt=""gamebanana"" img=""https://s5.postimg.cc/daa8em6fr/gamebanana_author.png"" /]"
