Name / Description,Src / Author
"[tut_desc name=""Basics (00)"" desc=""Basic introduction to the Source Filmmaker"" link=""https://www.youtube.com/watch?v=PqcRoizrv3Q"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Recording (01)"" desc=""Basic introduction to recording in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=hjjyZ0g6I4g"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Editing (02)"" desc=""Basic introduction to editing in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=QWx13d52HVo"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Sound (03)"" desc=""Basic introduction to sound in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=t9HYsoWD8C0"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Manipulating (04)"" desc=""Basic introduction to manipulation in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=HW9yO2naLjo"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Time Selection (05)"" desc=""Basic introduction to selecting time in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=j5Aewi84KCA"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Graph Editor (06)"" desc=""Basic introduction to the graph Editor in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=S9Z5mbmyftI"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""Puppeteering (07)"" desc=""Basic introduction to using actors as puppets in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=GcYOq6bqK-M"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""locks (08)"" desc=""Basic introduction to using locks in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=dH0A8U2c3UY"" /]","[author name=""Valve"" alt=""valve""  img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
"[tut_desc name=""lipsync (09)"" desc=""Basic introduction to lipsyncing in the Source Filmmaker"" link=""https://www.youtube.com/watch?v=HRfkXu5SzNg"" /]","[author name=""Valve"" alt=""valve"" img=""https://s5.postimg.cc/qlk2h0t1f/valve_author.png""]"
