Name / Description,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Radar locations in Counter-Strike: Source"" desc=""Ever wanted to give areas in your map a name that'll show up under the radar, next to teamchat and that bots will refer to?"" link=""https://twhl.info/wiki/page/Tutorial%3A_Radar_locations_in_Counter-Strike%3A_Source"" /]",[css],"[author name=""Archie"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Making a Bomb Site in CS:Source"" desc=""Making a Bomb Site in CS:Source"" link=""http://web.archive.org/web/20151030063037/http://www.slackiller.com/New%20Tuts/bomb.html"" /]",[css],"[author name=""Eyeronik"" alt=""eyeronik"" img=""https://s5.postimg.cc/7sbwqmxhf/eyeronik.png""]"
"[tut_desc name=""Making Respawnable Entities"" desc=""Making Respawnable Entities"" link=""http://web.archive.org/web/20070606213856/http://egir.dk/phpBB2/viewtopic.php?t=3601&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""ThePwner"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""How to toggle console."" desc=""Alot of people have problems with opening their console. "" link=""http://web.archive.org/web/20070606213957/http://egir.dk/phpBB2/viewtopic.php?t=3618&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""Sanitic"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""CSS Bomb Target video (70)"" desc=""CSS Bomb target"" link=""http://web.archive.org/web/20060628223058/http://halfwit-2.com/?page=tutorials&amp;id=70&amp;PHPSESSID=d50bbc8e15612551d0eb10d5f6efb683"" download_link=""https://mega.nz/#F!FAgSHJzC!uA_S6wVCqf51gY9eXLccZw"" /]",[css],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""CSS Hostage Rescue Video (69)"" desc=""CSS hostage resuce"" link=""http://web.archive.org/web/20060628223047/http://halfwit-2.com/?page=tutorials&amp;id=69&amp;PHPSESSID=d50bbc8e15612551d0eb10d5f6efb683"" download_link=""https://mega.nz/#F!4ZpnFb6I!Krt6oeTlkcAOk2fw6RHqJw"" /]",[css],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""First Source Room"" desc=""In this tutorial i will show you how to create a basic room with a nice light and how to use the HDR effect in your maps. "" link=""http://web.archive.org/web/20070606214932/http://egir.dk/phpBB2/viewtopic.php?t=3619&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""Sanitic"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""Simple Swinging Light"" desc=""Simple Swinging Light"" link=""http://web.archive.org/web/20070606215208/http://egir.dk/phpBB2/viewtopic.php?t=3617&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""KRushin"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""Making a Rotating Fan"" desc=""Making a Rotating Fan"" link=""http://web.archive.org/web/20151030062943/http://www.slackiller.com/New%20Tuts/fan.html"" /]",[css],"[author name=""Eyeronik"" alt=""eyeronik"" img=""https://s5.postimg.cc/7sbwqmxhf/eyeronik.png""]"
"[tut_desc name=""Hanging Entitys from a rope in CS:Source"" desc=""Hanging Entitys from a rope in CS:Source"" link=""http://web.archive.org/web/20151030063406/http://www.slackiller.com/New%20Tuts/hanging_rope.html"" /]",[css],"[author name=""Eyeronik"" alt=""eyeronik"" img=""https://s5.postimg.cc/7sbwqmxhf/eyeronik.png""]"
"[tut_desc name=""Weapon entity"" desc=""Weapon entity"" link=""http://web.archive.org/web/20070606213630/http://egir.dk/phpBB2/viewtopic.php?t=1262&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""skter4938"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""Make players start out with certain weapons"" desc=""Make players start out with certain weapons."" link=""http://web.archive.org/web/20070606215048/http://egir.dk/phpBB2/viewtopic.php?t=2434&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""wolf414"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""How to make breakable glass"" desc=""How to make breakable glass"" link=""http://web.archive.org/web/20070606214947/http://egir.dk/phpBB2/viewtopic.php?t=2433&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""wolf414"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""How To make a ladder"" desc=""How To make a ladder"" link=""http://web.archive.org/web/20070606214051/http://egir.dk/phpBB2/viewtopic.php?t=2443&amp;sid=03bdea30a71e7e7591df09aed462a888"" /]",[css],"[author name=""wolf414"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
"[tut_desc name=""Remaking mini_dust2"" desc=""A short story on a 1.6 to source conversion"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/175/Remaking_mini_dust2"" /]",[css],"[author name=""nappy"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Placing weapons with ammo"" desc=""How to place weapons with ammo in CS:S"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/153/Placing_weapons_with_ammo"" /]",[css],"[author name=""Sparky911"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Using and understanding trigger_look"" desc=""DON'T LOOK AWAY"" link=""http://www.snarkpit.net/snarkpower/articles/game/cat/pn/tp/170/Using_and_understanding_trigger_look"" /]",[css],"[author name=""Vash"" alt=""snarkpit"" img=""https://s5.postimg.cc/4c8gznq6f/snarkpit.png""]"
"[tut_desc name=""Counter-Strike Source and R_speeds"" desc=""Counter-Strike Source and R_speeds"" link=""http://web.archive.org/web/20070606214008/http://egir.dk/phpBB2/viewtopic.php?t=859&amp;sid=03bdea30a71e7e7591df09aed462a8888"" /]",[css],"[author name=""dragunov"" alt=""egirdk"" img=""https://s5.postimg.cc/c8t74sooz/egirdk.png""]"
