Name / Description,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game Tutorial Relates to!"">",Src / Author
"[tut_desc name=""Making your own Mini-Mod"" desc=""Make a simple mini mod without coding"" link=""http://web.archive.org/web/20060718214436/http://www.halfwit-2.com/?page=resources&amp;action=view&amp;item=6&amp;PHPSESSID=58b1d49f30b6096c665ed91fa724da73"" /]",[HL2],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""Horror in HalfLife 2 "" desc=""Basically a gathering together of ideas on how to make a map scary to the player."" link=""http://web.archive.org/web/20060721154920/http://www.halfwit-2.com/?page=resources&amp;action=view&amp;item=11&amp;PHPSESSID=861f5b14fa7400f4e56aa4a55bf12e8a"" /]",[HL2],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""Making a Movie In-Game"" desc=""A mini tutorial on how to record in game action to produce a movie that will run in most media programmes. "" link=""http://web.archive.org/web/20070616135444/http://www.halfwit-2.com/?page=resources&amp;action=view&amp;item=13"" /]",[HL2],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""Using Pakrat "" desc=""How to use Pakrat"" link=""http://web.archive.org/web/20080622045659/http://www.halfwit-2.com/?page=resources&amp;action=view&amp;item=15"" /]",[game_multi],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""PlayerSizeInfo"" desc=""Player Size Information. (Danial at Chatbear did some tests and put this together)"" link=""http://web.archive.org/web/20060718215003/http://www.halfwit-2.com/?page=resources&amp;action=view&amp;item=4&amp;PHPSESSID=58b1d49f30b6096c665ed91fa724da73"" /]",[game_multi],"[author name=""halfwit 2"" alt=""halfwit"" img=""https://s5.postimg.cc/f9ufvy39f/halfwit_author.png""]"
"[tut_desc name=""A Brief Introduction to the Source SDK"" desc=""Demystify the Source SDK with this handy guide."" link=""https://web.archive.org/web/20160924022243/http://twhl.info:80/tutorial.php?id=138"" /]",[game_multi],"[author name=""AJ"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png""]"
"[tut_desc name=""Changes from HL1"" desc=""This is basically a document that highlights all of the important changes from HL1 to HL2 mapping. "" link=""http://web.archive.org/web/20080921150725/http://www.vlatitude.com/tutorials.php?tutID=61"" /]",[HL2],"[author name=""Zombie@computer"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""Menu Editing"" desc=""A tutorial on how to change the format of the menu. Be advised that this is not a tutorial one how to create graphics or art, but simply how to alter the menu format for your mod."" link=""http://web.archive.org/web/20080921150736/http://www.vlatitude.com/tutorials.php?tutID=63"" /]",[HL2],"[author name=""Mr. Greenfish"" alt=""vlatitude"" img=""https://s5.postimg.cc/o6iv6hwjn/vlatitude.png""]"
"[tut_desc name=""How to Install Maps"" desc=""How to Install Maps"" link=""http://web.archive.org/web/20151029160214/http://www.slackiller.com/New%20Tuts/how_to_install.html"" /]",[CSS],"[author name=""Eyeronik"" alt=""eyeronik"" img=""https://s5.postimg.cc/7sbwqmxhf/eyeronik.png""]"
"[tut_desc name=""Half-Life 2 Command-line Parameters & Cheats"" desc=""Here\'s the list of other command-line parameters."" link=""https://web.archive.org/web/20090505020158/http://hl2.gamegate2k.com:80/halflife2/halflife2commandline"" /]",[HL2],"[author name=""gamegate2k"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Source Scripting FAQ"" desc=""The purpose of this page is to answer most of the commonly asked questions about Scripting and problems related to Scripting."" link=""https://web.archive.org/web/20080410142429/http://www.counter-script.net:80/index.php?id=44"" /]",[CSS],"[author name=""counter-script"" alt=""generic"" img=""https://s5.postimg.cc/oq1vjltkz/generic_author.png"" /]"
"[tut_desc name=""Error Guide Source"" desc=""Commons errors when working with Source"" link=""https://twhl.info/wiki/page/category%3AError_Guides%2BSource_Errors"" /]",[game_multi],"[author name=""twhl"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png"" /]"
"[tut_desc name="" VERC: Half-Life 2 and Source Mod FAQ"" desc="" VERC: Half-Life 2 and Source Mod FAQ"" link=""https://twhl.info/wiki/page/VERC%3A_Half-Life_2_and_Source_Mod_FAQ"" /]",[HL2],"[author name=""autolycus"" alt=""twhl"" img=""https://s5.postimg.cc/whili5xqb/twhl_author.png"" /]"
