Name / Description,"<img src=""https://s5.postimg.cc/gn6oq7t3b/g_cont.png"" width=""20"" height=""20"" title=""Game"">",Src / Author
"[tut_desc name=""Making Your HL2DM Mod a Perfect Clone of HL2DM"" desc=""This article let's you know how to setup your HL2DM mod to be exactly like HL2DM."" link=""http://articles.thewavelength.net/703/"" /]",[HL2],"[author name=""trepid_jon"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Three Firing Modes for Pistol"" desc=""Explains how to create 3 firing modes for the pistol: semi-automatic, burst-fire, and fully-automatic."" link=""http://articles.thewavelength.net/684/"" /]",[HL2],"[author name=""minmaijd"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Attaching VGUIScreens to viewmodels"" desc=""An article explaining how to attach dynamic vguiscreens to a weapons viewmodel"" link=""http://articles.thewavelength.net/675/"" /]",[HL2],"[author name=""Crazy01"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""An Exploration Of Weapon_RPG: Part 1B"" desc=""A fully documented exploration into the weapon_rpg class, starting with the basecombatweapon class and moving up the inheritance stack. The first part of the article disects basecombatweapon_shared."" link=""http://articles.thewavelength.net/656/"" /]",[HL2],"[author name=""Josiwe"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""An Exploration Of Weapon_RPG: Part 1A"" desc=""A fully documented exploration into the weapon_rpg class, starting with the basecombatweapon class and moving up the inheritance stack. The first part of the article disects basecombatweapon_shared."" link=""http://web.archive.org/web/20050217141502/http://articles.thewavelength.net/654/"" /]",[HL2],"[author name=""Josiwe"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Setting up Visual Studio .net 2005 Beta C++ for Source"" desc=""This is a quick and painless Artical on how to setup Visual Studio .net 2005 Beta, for use with Source Mods."" link=""http://articles.thewavelength.net/678/"" /]",[HL2],"[author name=""amckern"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Scoreboard"" desc=""Setting up a basic scoreboard (with teams!) in the HL2 FROM SCRATCH MP SDK"" link=""http://articles.thewavelength.net/667/"" /]",[HL2],"[author name=""omega"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Debugging your half-life 2 mod"" desc=""I go through both methods for debugging your modification"" link=""http://articles.thewavelength.net/650/"" /]",[HL2],"[author name=""ibutsu"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""How to add Ammocrates for missing ammo type and/or create new ammo types"" desc=""This tutorial will cover the code needed to add Slams and SGM1 Grenades as Ammocrate types, and also fix the graphics for two of the existing ones."" link=""http://articles.thewavelength.net/700/"" /]",[HL2],"[author name=""Starbreaker"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""3 State Zoom For Any Weapon"" desc=""I missed the zooming feature of the 357 that was in HL1 so I thought as a beginner tutorial I'd write a weapon zooming lesson. I then carried it out to a 3-stage zoom."" link=""http://articles.thewavelength.net/674/"" /]",[HL2],"[author name=""drnelson"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""3rd person View in Multiplayer"" desc=""How to enable it in HL2DM"" link=""http://articles.thewavelength.net/738/"" /]",[HL2],"[author name=""cct"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Add Far Clipping/Fading to Particles"" desc=""This will let you optionally set far clipping/fading on particles, so you can fade particles out at a certain distance from you."" link=""http://articles.thewavelength.net/672/"" /]",[HL2],"[author name=""trepid_jon"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""GameUI"" desc=""Explanation on handling VGUI without having a connection to a game."" link=""http://articles.thewavelength.net/710/"" /]",[HL2],"[author name=""ts2do"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Adding Muting to your Scoreboard"" desc=""A Small tutorial that explains how to put in simple muting on your scoreboard."" link=""http://articles.thewavelength.net/682/"" /]",[HL2],"[author name=""imperio59"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Enabling Spectator Mode"" desc=""How to get spectator mode working. Based on HL2MP SDK"" link=""http://articles.thewavelength.net/702/"" /]",[HL2],"[author name=""_Ms"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Game Movement Series #2: Analog Jumping and Floating"" desc=""How to set up analog jumping (the longer you hold jump, the higher you go) and floating (pressing jump as you are falling decelerates your fall)"" link=""http://articles.thewavelength.net/668/"" /]",[HL2],"[author name=""hopper"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Game Movement Series #1: Wall jumping"" desc=""How to setup wall jumping in half-life 2"" link=""http://articles.thewavelength.net/649/"" /]",[HL2],"[author name=""hopper"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Storing weapons on ladder"" desc=""like Raven Shield or BF2"" link=""http://articles.thewavelength.net/724/"" /]",[HL2],"[author name=""British_Bomber"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Implementation of a string lookup table"" desc=""A string lookup table is a set of functions that is used to convert strings to pre-defined values"" link=""http://articles.thewavelength.net/723/"" /]",[HL2],"[author name=""deathz0rz"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
"[tut_desc name=""Smoke Grenade"" desc=""Change the frag grenade in MP HL to a smoke grenade"" link=""http://articles.thewavelength.net/716/"" /]",[HL2],"[author name=""Mercalli"" alt=""wavelength"" img=""https://s5.postimg.cc/sntx8wjr7/wave_author.png""]"
